from,to,distance,ntrains
AADR,UHL,28,10
AADR,DLPC,15,6
AAG,WKA,6,1
AAG,MKPT,7,1
AAL,BUH,9,14
AAL,APR,13,16
AAL,SDL,29,2
AAM,CQA,7,2
AAM,PKQ,6,2
AAR,RDHP,76,4
AAR,SIOB,58,4
AAR,LAA,6,2
AAR,BUBR,9,2
AAS,BNO,17,2
AAS,PPR,15,2
AAY,VLY,18,4
AAY,NJT,18,4
AB,KPD,52,18
AB,JTJ,32,8
AB,GYM,27,3
AB,VN,16,15
AB,MPI,12,2
ABD,VG,48,8
ABD,GNC,28,2
ABD,CBCC,6,4
ABD,CLDY,6,2
ABI,DG,11,2
ABI,KQN,15,2
ABKA,GPAE,7,1
ABKA,BGRA,4,1
ABKA,BDC,42,13
ABKA,NDAE,24,13
ABKP,BSPR,19,6
ABKP,SJQ,39,2
ABLE,JJR,17,1
ABLE,PUNE,41,1
ABO,KRZ,6,1
ABO,ROK,6,1
ABP,MLPR,19,18
ABP,AY,53,8
ABP,GGJ,23,24
ABP,SHG,43,20
ABP,AYC,61,12
ABP,BSB,134,4
ABP,JNU,77,2
ABR,JWB,82,14
ABR,PNU,53,110
ABR,FA,98,44
ABR,PDWA,43,36
ABR,SRPJ,26,4
ABR,MJ,165,12
ABR,ADI,186,2
ABR,JU,269,2
ABR,MSH,117,2
ABR,AII,305,2
ABRV,MTSI,13,1
ABRV,ARPR,14,1
ABS,MOT,29,10
ABS,SGNR,53,12
ABS,PJK,14,2
ABS,PKK,15,3
ABS,FKA,43,4
ABS,BFE,8,2
ABS,KLWL,8,1
ABSA,AGTL,67,14
ABSA,DMR,73,16
ABSA,KUGT,40,4
ABSA,TLMR,29,8
ABSA,MANU,20,2
ABSA,MGKM,18,2
ABSA,JWNR,5,2
ABU,MAS,15,1
ABU,TRL,33,2
ABU,PER,9,1
ACG,VNA,6,1
ACG,BDWD,12,1
ACH,KURO,5,1
ACH,BAHP,4,1
ACL,AML,3,5
ACL,VDH,4,5
ACLE,MGLE,20,1
ACLE,AZ,1,1
ACN,TRK,7,1
ACN,AND,6,1
ACPR,SPTR,9,2
ACPR,DIPA,10,2
ACRN,VBW,9,2
ACRN,NAN,7,2
AD,MALM,41,47
AD,GTL,51,50
AD,RC,70,2
AD,KGL,15,1
AD,KO,28,3
AD,BAY,96,3
ADB,KNVT,45,12
ADB,PMKT,21,5
ADB,WANI,87,3
ADH,MMCT,17,2
ADH,BVI,13,15
ADH,BDTS,7,13
ADHL,ASK,8,1
ADHL,HVL,5,1
ADI,ND,46,156
ADI,VG,66,78
ADI,MSH,68,51
ADI,MAN,3,38
ADI,CLDY,11,10
ADI,MHD,28,4
ADI,GNC,29,8
ADI,MMCT,490,2
ADI,SUNR,130,16
ADI,ST,228,2
ADI,BRC,98,46
ADI,ANND,64,50
ADI,DHG,131,8
ADI,CYI,95,8
ADI,SEJ,31,4
ADI,SBIB,6,20
ADI,PNU,134,4
ADI,SBT,6,8
ADI,JVN,134,4
ADI,GDA,143,2
ADI,GIMB,300,2
ADI,HVD,162,3
ADI,BLDI,160,2
ADI,SRGT,132,2
ADL,KGP,103,6
ADL,DKAE,19,6
ADPT,USLP,21,2
ADPT,TENI,18,2
ADR,KBKN,11,2
ADR,JKHI,13,2
ADR,HSR,29,11
ADR,BHT,18,9
ADR,SSA,53,2
ADRA,PRR,39,6
ADRA,BQA,53,34
ADRA,BLS,286,2
ADRA,GAYA,242,1
ADRA,DDU,446,1
ADRA,ASN,41,21
ADRA,BJE,30,2
ADRA,JPH,30,2
ADRA,ANR,14,6
ADRA,CJN,39,6
ADRA,SNTD,23,6
ADRA,MDF,20,3
ADRA,IBL,13,2
ADRA,MYX,7,3
ADRA,GRB,7,2
ADRA,SNKR,7,3
ADRA,GMO,73,2
ADST,BDC,4,1
ADST,MUG,3,1
ADT,KTM,11,6
ADT,KMU,11,8
ADT,MV,20,2
ADTL,JBP,8,8
ADTL,DOE,9,6
ADTP,TATA,4,6
ADTP,GMH,7,6
ADVI,RN,32,16
ADVI,RAJP,32,2
ADVI,NIV,16,2
ADVI,VRLI,10,2
ADVI,VID,16,14
ADX,RXL,12,2
ADX,CAO,12,2
AED,RBS,5,2
AED,FTS,9,2
AEH,SMTL,5,2
AEH,ARI,10,2
AEK,HLE,10,1
AEK,HSRA,14,1
AEL,RE,38,4
AEL,NNL,14,5
AEL,KUND,15,1
AF,JAB,2,3
AF,IDH,2,14
AF,TDL,23,64
AF,AH,26,19
AF,SWM,226,4
AF,SMVJ,127,4
AF,GGC,161,6
AF,BXN,85,15
AF,AGC,4,4
AF,ETUE,18,2
AF,ALJN,95,2
AF,FTS,37,5
AF,BKI,151,2
AF,KOTA,333,3
AF,BTE,53,2
AF,CNB,253,2
AFK,CKI,15,31
AFK,AWY,9,38
AFK,TCR,45,6
AFK,KUC,5,1
AFR,DUB,10,2
AFR,CH,14,2
AGAS,KRYR,5,2
AGAS,BHAL,3,2
AGB,KPRR,7,2
AGB,AGZ,10,2
AGC,DHO,52,52
AGC,MTJ,54,100
AGC,RKM,4,21
AGC,MRA,80,23
AGC,BHA,10,2
AGC,GWL,118,84
AGC,NZM,187,29
AGC,VGLJ,217,10
AGC,FAB,46,4
AGC,NDLS,194,9
AGC,AH,26,6
AGC,DSJ,191,2
AGC,FDB,166,6
AGC,ETW,126,4
AGC,TDL,28,6
AGC,FTS,36,6
AGC,BXN,85,2
AGC,SSDT,28,2
AGC,GGC,162,2
AGI,NCH,18,2
AGI,NMT,11,3
AGI,MXN,28,4
AGI,SLGR,26,4
AGI,SLX,5,1
AGMN,BDYR,8,4
AGMN,DBB,34,4
AGN,G,23,14
AGN,DGG,50,6
AGN,SKS,15,8
AGR,PCN,9,2
AGR,BMI,4,2
AGTL,DMR,140,2
AGTL,UDPU,43,2
AGTL,TLMR,38,6
AGTL,JGNR,4,4
AGTL,SKKE,6,2
AGV,DNT,4,2
AGV,LXD,6,2
AGZ,NKX,8,2
AH,IDH,24,10
AH,BTE,28,35
AH,MTJ,38,4
AH,CIK,9,1
AH,RAI,6,1
AHA,KIUL,23,38
AHA,JMP,21,40
AHA,KJH,7,24
AHA,DRH,10,19
AHA,MSDN,5,3
AHH,MET,19,10
AHH,LDH,26,10
AHN,JRLE,6,2
AHN,SPLE,7,2
AI,AJE,7,12
AI,GIMB,9,14
AI,BHUJ,49,2
AIA,HSI,12,2
AIA,BWL,12,2
AIA,MJNL,6,2
AIA,KNAR,6,2
AII,KSG,25,108
AII,DOZ,7,5
AII,HTD,10,2
AII,JP,135,28
AII,FA,206,6
AII,NSD,23,31
AII,BER,52,53
AII,BJNR,65,10
AII,FL,80,8
AII,MJ,139,5
AII,BHL,132,18
AII,MDJN,7,5
AII,RANI,191,2
AIT,MOTH,34,10
AIT,ORAI,25,12
AIT,VGLJ,89,2
AJE,BHUJ,42,14
AJE,GIMB,16,2
AJI,HRI,32,12
AJI,SPN,30,11
AJI,ROZA,23,1
AJJ,RU,66,11
AJJ,PER,69,63
AJJ,MS,81,3
AJJ,TRT,13,18
AJJ,MAS,75,27
AJJ,WJR,36,6
AJJ,KPD,61,75
AJJ,TRL,27,29
AJJ,SHU,21,9
AJJ,MCN,44,1
AJJ,AVN,12,2
AJJ,CTRE,8,2
AJJ,CJ,31,4
AJJ,AVD,54,2
AJK,SRNR,3,2
AJK,WPR,6,2
AJNI,SNI,44,3
AJNI,NGP,3,8
AJNI,WR,75,5
AJP,RRB,18,11
AJP,HSD,21,4
AJP,SHV,10,7
AJR,BRKY,5,1
AJR,DKDE,8,1
AK,SEG,37,62
AK,BD,79,71
AK,MZR,38,32
AK,WHM,81,42
AK,BSL,140,41
AK,BGN,19,2
AK,MKU,89,22
AK,NN,62,4
AK,NGP,253,6
AK,GAO,12,1
AK,YAD,8,1
AK,NAVI,84,2
AK,WR,174,2
AKD,KSH,18,12
AKD,SJP,13,22
AKD,BCH,30,6
AKD,MKC,49,2
AKD,BLX,12,2
AKE,KMC,27,10
AKE,MZL,10,11
AKE,LSMP,4,1
AKJ,NHH,15,2
AKJ,HGH,17,2
AKN,BGP,14,10
AKN,SGG,10,12
AKN,CTMP,4,1
AKN,MVV,4,1
AKN,NAT,10,2
AKOR,SUR,35,10
AKOR,DUD,28,8
AKOR,GUR,51,4
AKOR,TLT,14,1
AKOR,HG,20,1
AKP,TUNI,64,23
AKP,VSKP,33,8
AKP,DVD,15,69
AKP,YLM,24,34
AKP,SLO,118,10
AKP,EE,258,2
AKP,ANV,81,4
AKP,NASP,17,2
AKP,KSK,6,2
AKRD,DEHR,5,5
AKRD,CCH,3,5
AKT,NIA,15,21
AKT,BSP,27,28
AKT,CPH,26,6
AKT,KTSH,6,2
AKT,KPNA,9,4
AKT,JRMG,13,1
AKV,BRC,80,50
AKV,ST,50,53
AKV,KSB,18,12
AKV,BH,10,22
AKV,PAO,10,7
AKVD,BVRT,18,36
AKVD,KKLR,17,38
AKVD,UNDI,10,2
ALAT,RDG,31,2
ALAT,KYND,16,2
ALB,WTJ,12,4
ALB,HAPA,10,4
ALER,ZN,14,18
ALER,BG,23,14
ALER,YADD,17,4
ALGP,HKD,8,3
ALGP,KTX,11,3
ALJN,TDL,78,38
ALJN,GZB,106,27
ALJN,ETW,170,5
ALJN,NDLS,132,9
ALJN,HRS,30,20
ALJN,KRJ,44,20
ALJN,CNB,309,19
ALJN,JJK,246,1
ALJN,ANVT,119,20
ALJN,DLI,126,5
ALJN,DIB,42,2
ALJN,ETUE,77,2
ALJN,BBA,55,4
ALJN,MWUE,6,1
ALJN,DAQ,7,1
ALLP,SRTL,23,23
ALLP,KYJ,44,24
ALLP,ERS,57,30
ALLP,QLN,85,10
ALLP,AMPA,13,18
ALLP,MAKM,13,5
ALM,KUK,7,4
ALM,KPL,9,4
ALMR,NGA,8,1
ALMR,UJ,7,1
ALPR,KRNT,7,1
ALPR,SBBJ,2,1
ALS,HTW,9,2
ALS,SVC,6,2
ALU,VRI,53,27
ALU,LLI,43,2
ALU,SRGM,58,20
ALU,TPJ,70,9
ALU,KKPM,25,2
ALU,PNDM,35,2
ALU,VM,107,4
ALUR,HAS,13,4
ALUR,SKLR,29,4
ALW,BOZ,1,1
ALW,CVB,2,1
AMB,MNGD,25,12
AMB,KSNG,48,4
AMB,NRLR,25,4
AMB,LJR,13,8
AMB,DKLU,12,4
AMBR,LTRR,13,1
AMBR,KTKR,8,1
AMC,JRU,13,3
AMC,CTA,21,3
AME,RBL,60,18
AME,MBDP,35,36
AME,JAIS,31,4
AME,GNG,13,24
AME,MCDA,14,9
AME,MFL,7,1
AMG,HRI,96,9
AMG,LKO,6,18
AMG,SAN,43,8
AMG,MLD,20,1
AMG,KKJ,8,1
AMG,LNWT,4,1
AMGA,DDNI,10,2
AMGA,RGJI,10,2
AMH,SMZ,26,8
AMH,MMA,21,20
AMH,MAU,43,6
AMH,KRND,35,11
AMH,SHG,57,9
AMH,SAA,12,2
AMI,BD,9,12
AMI,CND,38,4
AML,BIM,5,13
AML,NVS,16,8
AMLA,NRKR,82,4
AMLA,BZU,22,44
AMLA,JKR,12,2
AMLA,PAR,64,8
AMLA,MTY,23,20
AMLA,NGP,166,8
AMLA,BYS,10,3
AMLA,LLD,7,4
AMLA,BXY,27,4
AMLI,RWJ,8,4
AMLI,IDG,13,4
AMLP,VAN,3,1
AMLP,SAK,5,1
AMM,PKT,12,10
AMM,TTP,38,2
AMM,MTT,15,8
AMNE,HTLA,8,1
AMO,BHWR,4,1
AMO,NKE,13,1
AMP,PNE,15,6
AMP,SNT,13,14
AMP,BHP,20,8
AMP,KPLE,9,3
AMP,BSLE,6,3
AMPA,HAD,18,18
AMPL,MZC,4,1
AMPL,PPT,4,1
AMPR,RMH,8,1
AMPR,PGK,7,1
AMQ,CVB,1,1
AMQ,RKO,1,1
AMRO,MB,30,36
AMRO,GJL,23,16
AMRO,HPU,74,18
AMRO,GZB,110,2
AMSA,GBB,25,4
AMSA,TTR,27,4
AMSA,BSN,6,1
AMSA,SPGR,5,1
AN,SNK,41,6
AN,DXG,25,16
AN,JL,56,31
AN,NDB,95,23
AN,NDN,28,10
AN,BRTK,7,4
AN,TKHE,12,4
AN,DDE,61,16
AN,BSL,79,10
AN,ST,255,2
ANA,PHA,14,2
ANA,DMO,12,2
ANAS,BIO,8,2
ANAS,MGN,14,4
ANAS,DHD,19,2
ANB,OGL,15,8
ANB,CJM,14,8
ANB,RPRL,3,2
ANB,KRV,7,2
ANCR,BQA,11,1
ANCR,CJN,3,1
AND,TNI,4,1
ANDI,NUR,17,2
ANDI,SZM,6,3
ANDI,SNP,34,1
ANDN,SDDN,31,9
ANDN,GKP,42,13
ANDN,CM,8,6
ANDN,BMJ,13,6
ANDN,PJ,18,2
ANDN,LIR,21,6
ANE,KOU,7,2
ANE,OBVP,6,2
ANF,SRF,27,6
ANF,ARU,15,4
ANF,SMET,56,2
ANG,DDCC,82,50
ANG,BAP,67,40
ANG,KPG,111,22
ANG,MMR,153,2
ANG,DD,84,14
ANG,NYDO,12,1
ANG,PUNE,154,2
ANG,SNSI,103,2
ANGL,SBP,156,8
ANGL,TLHR,19,14
ANGL,SBPY,151,14
ANGL,TLHD,12,25
ANGL,BONA,39,10
ANGL,DNKL,60,12
ANGL,KPJG,14,2
ANGL,JRPD,24,2
ANGL,RAIR,85,17
ANGL,BBS,122,2
ANGR,BSRX,4,1
ANGR,WDL,5,1
ANI,KNW,12,1
ANI,ATR,17,1
ANK,MMR,15,2
ANK,NSL,9,2
ANKL,KAWR,28,14
ANKL,BYNR,97,4
ANKL,GOK,8,12
ANKL,HAA,15,2
ANMD,LAE,7,2
ANMD,BLSN,9,2
ANND,ND,18,169
ANND,BRC,34,169
ANND,CYI,31,51
ANND,MAN,61,4
ANND,VDA,15,7
ANND,KBRV,8,4
ANND,SNA,7,1
ANND,VLYN,5,2
ANO,KHED,14,3
ANO,CHI,16,3
ANPR,SKTN,21,2
ANPR,CPU,61,2
ANR,PRR,26,14
ANR,JOC,14,6
ANR,GRB,7,2
ANR,KSU,14,2
ANR,CKP,145,2
ANR,GMO,66,2
ANR,ASN,50,2
ANSB,KART,8,6
ANSB,NLDM,20,14
ANSB,RPAR,35,8
ANSB,CDG,105,2
ANSB,UHL,36,2
ANT,QG,19,2
ANT,ATPA,19,2
ANV,TUNI,17,35
ANV,SLO,37,27
ANV,PAP,24,15
ANV,GLP,19,3
ANV,YLM,56,8
ANV,DGDG,10,2
ANVR,CNJ,2,1
ANVR,MWC,4,1
ANVR,SBB,6,2
ANVR,TKJ,10,2
ANVT,MB,153,10
ANVT,CNB,428,43
ANVT,GZB,12,49
ANVT,MTC,60,4
ANVT,SBB,6,2
ANVT,TDL,197,2
ANVT,GOY,424,5
ANW,UNI,8,2
ANW,DOLK,6,2
ANY,KZB,6,2
ANY,KZY,2,2
AO,NSU,7,2
AO,KEG,12,2
AO,SPN,91,10
AO,CH,42,12
AO,DUB,18,2
AO,BE,24,4
APA,SEU,8,1
APA,BER,6,1
APDJ,HOJ,26,2
APDJ,NBQ,112,6
APDJ,HSA,35,12
APDJ,NCB,22,8
APDJ,KOJ,81,10
APDJ,BNV,69,2
APDJ,NMZ,114,2
APDJ,RVK,11,2
APDJ,DLO,60,4
APK,VPT,22,11
APK,MNM,45,9
APK,KKDI,105,2
APL,MCVM,7,2
APL,BPP,9,2
APMR,GJWL,11,2
APMR,NCRM,6,2
APN,VGE,19,2
APN,SXT,8,2
APR,BUH,21,11
APR,KTMA,31,10
APR,SDL,41,28
APR,PND,50,37
APR,JTI,14,14
APR,BJRI,48,2
APT,SLO,26,26
APT,RJY,24,7
APT,DWP,4,22
APT,BVL,9,3
APTA,PNVL,15,3
APTA,JITE,10,9
APTA,RSYI,4,6
AQG,RDRA,8,2
AQG,JSM,102,2
AQG,POK,4,1
AQG,OCH,17,1
ARA,BXR,69,151
ARA,DNR,39,114
ARA,PNBE,49,49
ARA,BTA,22,26
ARA,BEA,22,20
ARA,DURE,53,12
ARA,DDU,159,6
ARA,GQN,19,2
ARA,PIRO,39,2
ARA,MTBH,6,1
ARA,KUA,10,1
ARA,PPTA,46,4
ARCL,BPB,23,2
ARCL,JRBM,50,2
ARCL,SCA,8,3
ARCL,SCL,7,3
ARD,RGT,6,4
ARD,BTS,6,4
ARGP,RDI,5,1
ARGP,BSN,5,1
ARI,STLI,15,2
ARJ,BSB,35,23
ARJ,MAU,57,10
ARJ,BCY,31,12
ARJ,GCT,40,39
ARJ,SRNT,24,8
ARJ,KDQ,14,4
ARJ,NDJ,22,2
ARJ,DHE,21,10
ARJ,DLR,37,4
ARJ,SDT,19,8
ARJ,KCT,30,2
ARJ,JNU,59,4
ARK,KRPU,85,2
ARK,SUP,79,2
ARK,ARKV,6,2
ARK,GPJ,10,2
ARKV,SMLG,6,2
ARL,BLU,10,2
ARL,KJN,16,2
ARNA,KVGM,5,2
ARNA,BKI,6,2
ARPL,GWD,8,2
ARPL,SRNR,4,2
