station_name,station_code,state,railway_zone_code,latitude,longitude,is_junction,route_count,station_count_in_state
ATARIA,AA,Uttar Pradesh,NER,27.172457,80.861033,False,0,1205.0
AMBIKA BHAWANI HALT,AABH,Bihar,,25.751433665,84.9690033484,False,0,711.0
Amb Andora,AADR,Himachal Pradesh,,31.670727,76.110391,True,2,55.0
ANGAR,AAG,Maharashtra,,17.954256,75.599875,True,2,754.0
ITEHAR,AAH,Madhya Pradesh,NCR,26.562635,78.683783,False,0,614.0
ANKAI KILA,AAK,Maharashtra,,20.1831804301,74.4368553961,False,0,754.0
AMLAI,AAL,Madhya Pradesh,,23.173469,81.593507,True,19,614.0
Angadippuram,AAM,Kerala,SR,10.979489,76.20734300000001,True,2,183.0
AMBIAPUR,AAP,Uttar Pradesh,,26.515364,79.826878,False,0,1205.0
ADESAR,AAR,Gujarat,WR,23.5529783995,70.9720505023,False,0,633.0
ASRANADA,AAS,Rajasthan,,26.397374,73.30532500000001,True,4,645.0
Ambav,AAV,Gujarat,WR,,,False,0,633.0
ARALVAYMOZHI,AAY,Tamil Nadu,SR,8.2494513612,77.5292646945,True,6,557.0
AMBUR,AB,Tamil Nadu,,12.782934,78.721266,True,25,557.0
ABADA,ABB,West Bengal,,22.547877,88.19939199999999,False,0,713.0
AMBLI ROAD,ABD,Gujarat,,23.05437,72.494044,True,4,633.0
Ambikeshwar,ABE,Madhya Pradesh,NCR,26.368567,77.963828,False,0,614.0
Pattaravakkam,ABEO,Tamil Nadu,SR,13.114499981582952,80.16618146561086,False,0,557.0
AMBARI FALAKATA,ABFC,West Bengal,,26.641553,88.510593,True,2,713.0
ARBAGATTA HALT,ABGT,Karnataka,SWR,13.907468,76.13497100000001,False,0,416.0
AMBARNATH,ABH,Maharashtra,,19.210382000000003,73.184756,True,6,754.0
AMBATURAI,ABI,Tamil Nadu,,10.272226,77.924468,True,2,557.0
AMBIKA KALNA,ABKA,West Bengal,ER,23.211377,88.353984,True,15,713.0
AMBIKAPUR,ABKP,Chhattisgarh,SECR,23.137032,83.14510899999999,True,6,162.0
AMBALE,ABLE,Maharashtra,CR,18.398719,74.171511,False,1,754.0
ASTHAL BOHAR,ABO,Haryana,NR,28.857765,76.629155,False,0,201.0
AKBARPUR,ABP,Uttar Pradesh,,26.429818,82.539073,True,39,1205.0
ABU ROAD,ABR,Rajasthan,NWR,24.470775,72.775695,True,93,645.0
ABOHAR,ABS,Punjab,NR,30.1393834225,74.19568617739999,True,17,297.0
Ambassa,ABSA,Tripura,NFR,23.930507,91.860783,False,0,17.0
AMBATTUR,ABU,Tamil Nadu,,13.1143059808,80.1525249074,False,0,557.0
