from,to,distance,ntrains
AADR,UHL,28.0,10
AADR,DLPC,15.0,6
AAG,WKA,6.0,1
AAG,MKPT,7.0,1
AAL,BUH,9.0,14
AAL,APR,13.0,16
AAL,SDL,29.0,2
AAM,CQA,7.0,2
AAM,PKQ,6.0,2
AAR,RDHP,76.0,4
AAR,SIOB,58.0,4
AAR,LAA,6.0,2
AAR,BUBR,9.0,2
AAS,BNO,17.0,2
AAS,PPR,15.0,2
AAY,VLY,18.0,4
AAY,NJT,18.0,4
AB,KPD,52.0,18
AB,JTJ,32.0,8
AB,GYM,27.0,3
AB,VN,16.0,15
AB,MPI,12.0,2
ABD,VG,48.0,8
ABD,GNC,28.0,2
ABD,CBCC,6.0,4
ABD,CLDY,6.0,2
ABI,DG,11.0,2
ABI,KQN,15.0,2
ABKA,GPAE,7.0,1
ABKA,BGRA,4.0,1
ABKA,BDC,42.0,13
ABKA,NDAE,24.0,13
ABKP,BSPR,19.0,6
ABKP,SJQ,39.0,2
ABLE,JJR,17.0,1
ABLE,PUNE,41.0,1
ABO,KRZ,6.0,1
ABO,ROK,6.0,1
ABP,MLPR,19.0,18
ABP,AY,53.0,8
ABP,GGJ,23.0,24
ABP,SHG,43.0,20
ABP,AYC,61.0,12
ABP,BSB,134.0,4
ABP,JNU,77.0,2
ABR,JWB,82.0,14
ABR,PNU,53.0,110
ABR,FA,98.0,44
ABR,PDWA,43.0,36
ABR,SRPJ,26.0,4
ABR,MJ,165.0,12
ABR,ADI,186.0,2
ABR,JU,269.0,2
ABR,MSH,117.0,2
ABR,AII,305.0,2
ABRV,MTSI,13.0,1
ABRV,ARPR,14.0,1
ABS,MOT,29.0,10
ABS,SGNR,53.0,12
ABS,PJK,14.0,2
ABS,PKK,15.0,3
ABS,FKA,43.0,4
ABS,BFE,8.0,2
ABS,KLWL,8.0,1
ABSA,AGTL,67.0,14
ABSA,DMR,73.0,16
ABSA,KUGT,40.0,4
ABSA,TLMR,29.0,8
ABSA,MANU,20.0,2
ABSA,MGKM,18.0,2
ABSA,JWNR,5.0,2
ABU,MAS,15.0,1
ABU,TRL,33.0,2
ABU,PER,9.0,1
ACG,VNA,6.0,1
ACG,BDWD,12.0,1
ACH,KURO,5.0,1
ACH,BAHP,4.0,1
ACL,AML,3.0,5
ACL,VDH,4.0,5
ACLE,MGLE,20.0,1
ACLE,AZ,1.0,1
ACN,TRK,7.0,1
ACN,AND,6.0,1
ACPR,SPTR,9.0,2
ACPR,DIPA,10.0,2
ACRN,VBW,9.0,2
ACRN,NAN,7.0,2
AD,MALM,41.0,47
AD,GTL,51.0,50
AD,RC,70.0,2
AD,KGL,15.0,1
AD,KO,28.0,3
AD,BAY,96.0,3
ADB,KNVT,45.0,12
ADB,PMKT,21.0,5
ADB,WANI,87.0,3
ADH,MMCT,17.0,2
ADH,BVI,13.0,15
ADH,BDTS,7.0,13
ADHL,ASK,8.0,1
ADHL,HVL,5.0,1
ADI,ND,46.0,156
ADI,VG,66.0,78
ADI,MSH,68.0,51
ADI,MAN,3.0,38
ADI,CLDY,11.0,10
ADI,MHD,28.0,4
ADI,GNC,29.0,8
ADI,MMCT,490.0,2
ADI,SUNR,130.0,16
ADI,ST,228.0,2
ADI,BRC,98.0,46
ADI,ANND,64.0,50
ADI,DHG,131.0,8
ADI,CYI,95.0,8
ADI,SEJ,31.0,4
ADI,SBIB,6.0,20
ADI,PNU,134.0,4
ADI,SBT,6.0,8
ADI,JVN,134.0,4
ADI,GDA,143.0,2
ADI,GIMB,300.0,2
ADI,HVD,162.0,3
ADI,BLDI,160.0,2
ADI,SRGT,132.0,2
ADL,KGP,103.0,6
ADL,DKAE,19.0,6
ADPT,USLP,21.0,2
ADPT,TENI,18.0,2
ADR,KBKN,11.0,2
ADR,JKHI,13.0,2
ADR,HSR,29.0,11
ADR,BHT,18.0,9
ADR,SSA,53.0,2
ADRA,PRR,39.0,6
ADRA,BQA,53.0,34
ADRA,BLS,286.0,2
ADRA,GAYA,242.0,1
ADRA,DDU,446.0,1
ADRA,ASN,41.0,21
ADRA,BJE,30.0,2
ADRA,JPH,30.0,2
ADRA,ANR,14.0,6
ADRA,CJN,39.0,6
ADRA,SNTD,23.0,6
ADRA,MDF,20.0,3
ADRA,IBL,13.0,2
ADRA,MYX,7.0,3
ADRA,GRB,7.0,2
ADRA,SNKR,7.0,3
ADRA,GMO,73.0,2
ADST,BDC,4.0,1
ADST,MUG,3.0,1
ADT,KTM,11.0,6
ADT,KMU,11.0,8
ADT,MV,20.0,2
ADTL,JBP,8.0,8
ADTL,DOE,9.0,6
ADTP,TATA,4.0,6
ADTP,GMH,7.0,6
ADVI,RN,32.0,16
ADVI,RAJP,32.0,2
ADVI,NIV,16.0,2
ADVI,VRLI,10.0,2
ADVI,VID,16.0,14
ADX,RXL,12.0,2
