feature,importance_gain,importance_split,gain_pct
section_median_time,11087430.401352882,5814,47.129757388581915
scheduled_section_time,5260651.736651421,9779,22.36165018216943
section_mean_time,2365554.6260962486,5087,10.05535201409247
dep_delay_from,1541074.1979866028,6793,6.550702050860199
section_p90_time,1013795.7241411209,4493,4.3093796119362935
section_std_time,478579.8493652344,5577,2.034317364363828
distance_km,404664.61129665375,4627,1.7201230820649818
arr_delay_from,398690.93287467957,1272,1.6947305425356514
zone,359077.67645835876,6400,1.5263449836919107
section_min_time,154356.02650117874,2232,0.6561269669461386
scheduled_dwell_from,153723.49161052704,1831,0.6534382270977612
hour_of_day,100760.68058156967,3112,0.428307214405452
edge_ntrains,76991.89262580872,1946,0.3272723335335979
rolling_station_mean_delay_6h,30677.446984291077,577,0.13040177762868338
net_1hop_active_count,29491.2735748291,704,0.12535966570688875
temperature_2m,27856.009388923645,1107,0.11840858673203833
net_downstream_weighted_delay,9642.826484203339,316,0.04098912518857771
wind_speed_10m,5062.8704624176025,253,0.021520933881528027
net_3hop_mean_delay,4916.668137550354,228,0.02089946616076567
recent_station_mean_delay,4702.126695632935,142,0.019987506785026928
net_2hop_mean_delay,4393.025505065918,178,0.018673598729453678
net_1hop_mean_delay,3793.2014961242676,96,0.01612390425616822
net_downstream_delay_trend,3398.099573135376,139,0.014444429652931344
net_1hop_delayed_count,1430.9357948303223,49,0.006082532598424407
precipitation,1317.5344734191895,67,0.005600493336649277
day_of_month,1079.6884136199951,60,0.00458947214522891
station_delay_trend_2h,1068.1763534545898,59,0.004540537398132586
net_2hop_delayed_count,656.0371999740601,34,0.002788641998500333
weather_code,358.7770023345947,19,0.0015250668968861262
day_of_week,132.28260040283203,9,0.0005622986244816001
is_weekend,0.0,0,0.0
is_foggy,0.0,0,0.0
is_heavy_rain,0.0,0,0.0
visibility,0.0,0,0.0
